InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
539993,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,2011-01-04 10:00:00,3.25,13313,United Kingdom
539993,20718,RED RETROSPOT SHOPPER BAG,10,2011-01-04 10:00:00,1.25,13313,United Kingdom
539993,22961,JAM MAKING SET PRINTED,12,2011-01-04 10:00:00,1.45,13313,United Kingdom
540003,22962,JAM JAR WITH PINK LID,12,2011-01-04 10:37:00,0.85,16875,United Kingdom
540003,22191,IVORY DINER WALL CLOCK,2,2011-01-04 10:37:00,8.5,16875,United Kingdom
540004,84946,ANTIQUE SILVER TEA GLASS ETCHED,72,2011-01-04 10:37:00,1.06,13094,United Kingdom
540003,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2011-01-04 10:37:00,0.85,16875,United Kingdom
540003,22963,JAM JAR WITH GREEN LID,12,2011-01-04 10:37:00,0.85,16875,United Kingdom
540003,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2011-01-04 10:37:00,0.95,16875,United Kingdom
540005,84949,SILVER HANGING T-LIGHT HOLDER,6,2011-01-04 10:38:00,1.65,17315,United Kingdom
540005,47504K,ENGLISH ROSE GARDEN SECATEURS,24,2011-01-04 10:38:00,0.85,17315,United Kingdom
C540006,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,-1,2011-01-04 10:48:00,16.95,14606,United Kingdom
540013,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-01-04 11:30:00,0.95,16255,United Kingdom
540013,85064,CREAM SWEETHEART LETTER RACK,2,2011-01-04 11:30:00,5.45,16255,United Kingdom
540013,22556,PLASTERS IN TIN CIRCUS PARADE ,2,2011-01-04 11:30:00,1.65,16255,United Kingdom
540013,22776,SWEETHEART CAKESTAND 3 TIER,1,2011-01-04 11:30:00,9.95,16255,United Kingdom
540013,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,2011-01-04 11:30:00,8.5,16255,United Kingdom
540013,22723,SET OF 6 HERB TINS SKETCHBOOK,3,2011-01-04 11:30:00,3.95,16255,United Kingdom
540013,22507,MEMO BOARD RETROSPOT  DESIGN,2,2011-01-04 11:30:00,4.95,16255,United Kingdom
540014,21781,MA CAMPAGNE CUTLERY BOX,1,2011-01-04 11:34:00,14.95,14606,United Kingdom
540014,22414,DOORMAT NEIGHBOURHOOD WITCH ,1,2011-01-04 11:34:00,7.95,14606,United Kingdom
540014,22423,REGENCY CAKESTAND 3 TIER,1,2011-01-04 11:34:00,12.75,14606,United Kingdom
540014,21661,VINTAGE GLASS TEA CADDY,1,2011-01-04 11:34:00,5.95,14606,United Kingdom
540014,22385,JUMBO BAG SPACEBOY DESIGN,2,2011-01-04 11:34:00,1.95,14606,United Kingdom
540014,22494,EMERGENCY FIRST AID TIN ,2,2011-01-04 11:34:00,1.25,14606,United Kingdom
540014,21657,MILK BOTTLE WITH GLASS STOPPER ,1,2011-01-04 11:34:00,6.95,14606,United Kingdom
540014,85176,SEWING SUSAN 21 NEEDLE SET,1,2011-01-04 11:34:00,0.85,14606,United Kingdom
